SEQUENTIAL
# user, domain, authentication
6001;100.100.106.153:5060;[authentication username=test password=test]
6002;100.100.106.153:5060;[authentication username=test password=test]
6003;100.100.106.153:5060;[authentication username=test password=test]
6004;100.100.106.153:5060;[authentication username=test password=test]
6005;100.100.106.153:5060;[authentication username=test password=test]
6006;100.100.106.153:5060;[authentication username=test password=test]
6007;100.100.106.153:5060;[authentication username=test password=test]
6008;100.100.106.153:5060;[authentication username=test password=test]
6009;100.100.106.153:5060;[authentication username=test password=test]
6010;100.100.106.153:5060;[authentication username=test password=test]
6011;100.100.106.153:5060;[authentication username=test password=test]
6012;100.100.106.153:5060;[authentication username=test password=test]
6013;100.100.106.153:5060;[authentication username=test password=test]
6014;100.100.106.153:5060;[authentication username=test password=test]
6015;100.100.106.153:5060;[authentication username=test password=test]
6016;100.100.106.153:5060;[authentication username=test password=test]
6017;100.100.106.153:5060;[authentication username=test password=test]
6018;100.100.106.153:5060;[authentication username=test password=test]
6019;100.100.106.153:5060;[authentication username=test password=test]
6020;100.100.106.153:5060;[authentication username=test password=test]
6021;100.100.106.153:5060;[authentication username=test password=test]
6022;100.100.106.153:5060;[authentication username=test password=test]
6023;100.100.106.153:5060;[authentication username=test password=test]
6024;100.100.106.153:5060;[authentication username=test password=test]
6025;100.100.106.153:5060;[authentication username=test password=test]
6026;100.100.106.153:5060;[authentication username=test password=test]
6027;100.100.106.153:5060;[authentication username=test password=test]
6028;100.100.106.153:5060;[authentication username=test password=test]
6029;100.100.106.153:5060;[authentication username=test password=test]
6030;100.100.106.153:5060;[authentication username=test password=test]
6031;100.100.106.153:5060;[authentication username=test password=test]
6032;100.100.106.153:5060;[authentication username=test password=test]
6033;100.100.106.153:5060;[authentication username=test password=test]
6034;100.100.106.153:5060;[authentication username=test password=test]
6035;100.100.106.153:5060;[authentication username=test password=test]
6036;100.100.106.153:5060;[authentication username=test password=test]
6037;100.100.106.153:5060;[authentication username=test password=test]
6038;100.100.106.153:5060;[authentication username=test password=test]
6039;100.100.106.153:5060;[authentication username=test password=test]
6040;100.100.106.153:5060;[authentication username=test password=test]
6041;100.100.106.153:5060;[authentication username=test password=test]
6042;100.100.106.153:5060;[authentication username=test password=test]
